Date,Time,Value,Chart Type
3/12/2019,0:09:00,940,Chart K
3/12/2019,0:09:00,1683,Chart L
3/12/2019,0:09:00,13,Chart M
3/12/2019,0:09:00,0,Chart N
3/12/2019,0:09:20,2.7,Chart A
3/12/2019,0:09:20,4.9,Chart C
3/12/2019,0:09:20,12,Chart H
3/12/2019,0:09:20,0,Chart D
3/12/2019,0:09:20,69,Chart B
3/12/2019,0:09:20,52,Chart F
3/12/2019,0:09:20,0,Chart G
3/12/2019,0:09:20,93,Chart I
3/12/2019,0:09:20,52,Chart J
3/12/2019,0:09:20,938,Chart K
3/12/2019,0:09:20,1678,Chart L
3/12/2019,0:09:20,11,Chart M
3/12/2019,0:09:20,0,Chart N
3/12/2019,0:09:40,2.7,Chart A
3/12/2019,0:09:40,4.8,Chart C
3/12/2019,0:09:40,12,Chart H
3/12/2019,0:09:40,0,Chart D
3/12/2019,0:09:40,70,Chart B
3/12/2019,0:09:40,52,Chart F
3/12/2019,0:09:40,0,Chart G
3/12/2019,0:09:40,93,Chart I
3/12/2019,0:09:40,52,Chart J
3/12/2019,0:09:40,950,Chart K
3/12/2019,0:09:40,1701,Chart L
3/12/2019,0:09:40,13,Chart M
3/12/2019,0:09:40,0,Chart N
3/12/2019,0:10:00,2.7,Chart A
3/12/2019,0:10:00,4.9,Chart C
3/12/2019,0:10:00,12,Chart H
3/12/2019,0:10:00,0,Chart D
3/12/2019,0:10:00,70,Chart B
3/12/2019,0:10:00,52,Chart F
3/12/2019,0:10:00,0,Chart G
3/12/2019,0:10:00,94,Chart I
3/12/2019,0:10:00,52,Chart J
3/12/2019,0:10:00,955,Chart K
3/12/2019,0:10:00,1710,Chart L
3/12/2019,0:10:00,12,Chart M
3/12/2019,0:10:00,0,Chart N
3/12/2019,0:10:20,2.7,Chart A
3/12/2019,0:10:20,4.9,Chart C
3/12/2019,0:10:20,12,Chart H
3/12/2019,0:10:20,0,Chart D
3/12/2019,0:10:20,71,Chart B
3/12/2019,0:10:20,52,Chart F
3/12/2019,0:10:20,0,Chart G
3/12/2019,0:10:20,94,Chart I
3/12/2019,0:10:20,53,Chart J
3/12/2019,0:10:20,954,Chart K
3/12/2019,0:10:20,1707,Chart L
3/12/2019,0:10:20,12,Chart M
3/12/2019,0:10:20,0,Chart N
3/12/2019,0:10:40,2.7,Chart A
3/12/2019,0:10:40,4.9,Chart C
3/12/2019,0:10:40,12,Chart H
3/12/2019,0:10:40,0,Chart D
3/12/2019,0:10:40,71,Chart B
3/12/2019,0:10:40,52,Chart F
3/12/2019,0:10:40,0,Chart G
3/12/2019,0:10:40,94,Chart I
3/12/2019,0:10:40,53,Chart J
3/12/2019,0:10:40,956,Chart K
3/12/2019,0:10:40,1712,Chart L
3/12/2019,0:10:40,12,Chart M
3/12/2019,0:10:40,0,Chart N
3/12/2019,0:11:00,2.7,Chart A
3/12/2019,0:11:00,4.9,Chart C
3/12/2019,0:11:00,12,Chart H
3/12/2019,0:11:00,0,Chart D
3/12/2019,0:11:00,71,Chart B
3/12/2019,0:11:00,52,Chart F
3/12/2019,0:11:00,0,Chart G
3/12/2019,0:11:00,94,Chart I
3/12/2019,0:11:00,53,Chart J
3/12/2019,0:11:00,967,Chart K
3/12/2019,0:11:00,1731,Chart L
3/12/2019,0:11:00,12,Chart M
3/12/2019,0:11:00,0,Chart N
3/12/2019,0:11:20,2.7,Chart A
3/12/2019,0:11:20,4.9,Chart C
3/12/2019,0:11:20,13,Chart H
3/12/2019,0:11:20,0,Chart D
3/12/2019,0:11:20,72,Chart B
3/12/2019,0:11:20,52,Chart F
3/12/2019,0:11:20,0,Chart G
3/12/2019,0:11:20,95,Chart I
3/12/2019,0:11:20,53,Chart J
3/12/2019,0:11:20,969,Chart K
3/12/2019,0:11:20,1734,Chart L
3/12/2019,0:11:20,12,Chart M
3/12/2019,0:11:20,0,Chart N
3/12/2019,0:11:40,2.7,Chart A
3/12/2019,0:11:40,4.8,Chart C
3/12/2019,0:11:40,13,Chart H
3/12/2019,0:11:40,0,Chart D
3/12/2019,0:11:40,72,Chart B
3/12/2019,0:11:40,51,Chart F
3/12/2019,0:11:40,0,Chart G
3/12/2019,0:11:40,94,Chart I
3/12/2019,0:11:40,53,Chart J
3/12/2019,0:11:40,987,Chart K
3/12/2019,0:11:40,1767,Chart L
3/12/2019,0:11:40,12,Chart M
3/12/2019,0:11:40,0,Chart N
3/12/2019,0:12:00,2.7,Chart A
3/12/2019,0:12:00,4.9,Chart C
3/12/2019,0:12:00,13,Chart H
3/12/2019,0:12:00,0,Chart D
3/12/2019,0:12:00,73,Chart B
3/12/2019,0:12:00,51,Chart F
3/12/2019,0:12:00,0,Chart G
3/12/2019,0:12:00,95,Chart I
3/12/2019,0:12:00,53,Chart J
3/12/2019,0:12:00,992,Chart K
